gene,pval_given_therapy,pval_response
CTD-2283N19.1,0.142877638264431,0.0861225384914104
RP11-177C12.4,0.819294026603406,0.382919065119782
RTN3P1,0.940434181126421,0.5451207336525
RP11-697N18.1,0.338516185292092,0.344523048064669
CTD-2516F10.2,0.214101436380482,0.0900269882880361
ZNF550,0.0866383707110922,0.0311949530410695
CTB-109A12.1,0.762727343052376,0.880493048545981
RP11-586D19.2,0.104311229772308,0.155780378168567
RP11-843P14.1,0.587452265945805,0.922745522259528
RP11-1348G14.4,0.65125113679137,0.705960154307505
GS1-124K5.6,0.694695293097106,0.375656693690059
RPL32P3,0.128982068178352,0.0690794302763661
AC068134.10,0.0193563203191167,0.00747782421743899
PPIAP11,0.580367155916419,0.728926428692582
APITD1-CORT,0.309139691566738,0.27077152970202
RP5-862P8.3,0.910732569057725,0.695222612255173
RP11-109E24.1,0.998581594289591,0.885910167189991
RP11-724M22.1,0.33827164901635,0.654383224938029
IGKV1D-39,0.999386093580043,0.794649013448118
MALAT1,5.68929875812352e-06,0.000621645785072519
TRBV21-1,0.318067537348274,0.576494324232296
RP11-39E3.5,0.877948502299668,0.996268229029671
RP11-539L10.3,0.587126951474855,0.991510223571109
AC008427.2,0.82888446396095,0.923939370029596
TET2-AS1,0.464204142268278,0.167265737178685
MSNP1,0.8881911266333,0.943916664376639
ABCA11P,0.272372971894842,0.315231706037236
HADHAP1,0.40625317481059,0.384486899100345
RP11-774O3.3,0.645192770141884,0.999899504318027
GYG1P1,0.883836375760357,0.796810606514926
RP11-1280N14.3,0.441866783424296,0.177534241568749
RP11-119D9.1,0.0657564041290666,0.0945594350840726
RP11-326C3.11,0.00346485240986567,0.00458423348303649
RP11-844P9.3,0.402112799052233,0.535184940344572
FAM86EP,0.0816019998043326,0.139951094091424
CTC-458I2.2,0.75761506851294,0.469949030818023
RP11-631M6.3,0.0873900559999736,0.080018531676883
RNA5-8SP6,0.800218440305585,0.919578284930847
ACA59,0.178039532668786,0.361902859513296
SCARNA6,0.160871942291765,0.221249179095248
SCARNA21,0.210861576306585,0.248011069089277
SCARNA20,0.849179714309081,0.965163234399078
RNA5SP216,0.123595177016156,0.342385738205688
SCARNA17,0.0731515647776251,0.13979812880905
RNU2-27P,0.613999115550971,0.298583610024939
SCARNA5,0.479383994796015,0.387962276691111
RNU1-143P,0.0307652830223421,0.0103507021252079
RNU6ATAC39P,0.202909610610819,0.271626837768471
SNORA76,0.435718762787521,0.390259386208205
AC092574.2,0.18130241891345,0.0845678645885131
RNU6-941P,0.0431514232832791,0.0210243517846648
RNA5SP282,0.664761707267064,0.594661316688669
SCARNA15,0.020037095434297,0.00479981021098334
RNU2-58P,0.957509795811067,0.585697331219266
SCARNA24,0.954633232206572,0.81555094117626
RNU1-103P,0.623330835608386,0.706348584324079
RNY4,0.57158251505252,0.637644702199178
RN7SKP287,0.830209795732224,0.781002871162453
RNU6-118P,0.0572823009566742,0.252149276939908
RNU6-638P,0.625870280097074,0.993480366975534
RN7SKP70,0.121986974189797,0.365884043630016
SCARNA13,0.0668320447874918,0.0642000959244663
RNU1-125P,0.00142458637749014,0.000603402231687778
RNU6-135P,0.351159428242844,0.406177183432354
RNU6ATAC24P,0.113282477232529,0.0870939707401593
RN7SKP282,0.456604318181584,0.30149926585536
RN7SKP219,0.892241350422481,0.858100017520608
RNA5SP392,0.00639390292887581,0.00194167190403088
SCARNA4,0.451647005418067,0.266682499746632
RN7SKP23,0.128960243793728,0.263977302775428
RNU6-548P,0.256212675239555,0.242437854902086
SCARNA3,0.751472762712914,0.434598415781607
RNU1-68P,0.0307652830223421,0.0103507021252079
RMRPP1,0.127403724476976,0.0933393252025953
NRON,0.904538860414548,0.896485444217125
RP11-946L20.4,0.961880808643363,0.900159766838329
RP11-158K1.3,0.579662285890482,0.302912894803196
CTD-2373N4.5,0.521988873711846,0.46426705072398
HNRNPA3P7,0.850029231166075,0.85154777414543
RP11-360L9.4,0.825185662593897,0.672939205816027
Metazoa_SRP,0.990086087351476,0.807920102605277
RP11-281O15.7,0.141185309974329,0.263590028283096
KIAA0196-AS1,0.94141213233988,0.953787383794154
RP11-152C15.1,0.448221029977864,0.202672039832142
RP11-360L9.7,0.038271221199966,0.0234451486254758
TRBV6-7,0.708559156343732,0.962126068909377
RP11-582J16.5,0.58606932108712,0.429841515100739
GUSBP3,0.849333414901582,0.429682629498201
RP5-1009N12.1,0.940738707739788,0.586686262622968
RP11-809O17.1,0.68432638827525,0.883658509188916
RP11-122A3.2,0.771607974403572,0.680717536471402
CTC-534A2.2,0.938454896770807,0.55186554623858
CTB-37A13.1,0.0165217900401133,0.150921895320738
RP11-99A14.1,0.771830385814421,0.613235637699054
CCDC71L,0.412780470791122,0.178475220156171
TRBV7-7,0.744006316802671,0.698618275585343
TMEM200B,0.0164508400360389,0.0636323630349242
SERPINE3,0.142551985457495,0.312075783586354
KB-1507C5.2,0.0971799844798257,0.155160126398982
RP11-261C10.7,0.334235603487992,0.361517808697176
RP11-697N18.3,0.218563697195981,0.072978097986776
RP11-730G20.2,0.727141704751008,0.962727313729124
TUG1,0.985741044017505,0.308068264726007
RP11-90P5.2,0.00180483420836158,0.00170305583130565
RP11-589F5.4,0.10786623777419,0.0492881368060162
RP11-44N11.1,0.00470289645142096,0.00579874824227304
RP11-116B19.2,0.519634896085925,0.542089217180302
KB-1254G8.1,0.836513355466901,0.952938688849434
TRBV7-4,0.810128228904109,0.815328209905682
RP11-442A17.2,0.0182907681877703,0.0148711349654192
PCAT1,0.0846339684701459,0.078603012922696
CDC42P5,0.933768280070695,0.87643991647901
SMIM18,0.658208544390291,0.300900427212619
AL139099.1,0.0457201582204836,0.218767006202784
RP11-110G21.2,0.840641421590596,0.848515244086564
AC145110.1,0.155192849763223,0.250083541612887
CDH12P3,0.0124312407264746,0.0105298601524816
NACA2,0.989682182618064,0.781729960500456
MIR146A,0.0829586100576812,0.173970590846717
