term	set_size	overlap	pval	padj
Immune::GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN	116	57	2.589938398512774e-11	1.874840362817212e-09
GO_BP::GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	165	73	2.6852444022025023e-11	1.899501276565002e-09
Immune::GSE22886_NAIVE_CD4_TCELL_VS_DC_UP	165	73	2.6852444022025023e-11	1.899501276565002e-09
Immune::GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN	125	60	2.6936692919503694e-11	1.899501276565002e-09
GO_BP::GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	348	127	2.950000574234123e-11	2.0624790339517203e-09
Immune::NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_NEGATIVE	395	140	3.15088271701109e-11	2.184255985182264e-09
GO_BP::GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	804	247	3.933057884286511e-11	2.7035641591145934e-09
Immune::FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_1DY_POSITIVE	91	48	4.012639709790395e-11	2.735282735507119e-09
Immune::GSE26488_CTRL_VS_PEPTIDE_INJECTION_OT2_THYMOCYTE_DN	126	60	4.088370858207977e-11	2.7638738529042356e-09
Immune::ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP	80	44	4.179608869057551e-11	2.8023934876139974e-09
GO_BP::GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	283	108	4.448655673603048e-11	2.958536862607556e-09
Immune::GSE3720_UNSTIM_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_UP	139	64	5.697468934024736e-11	3.758491603251802e-09
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_DN	109	54	5.822082307835038e-11	3.809970662247249e-09
GO_BP::GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	528	175	6.047774668496417e-11	3.9009672667615925e-09
Immune::GSE22886_NAIVE_TCELL_VS_NKCELL_UP	161	71	6.056513971622521e-11	3.9009672667615925e-09
Immune::GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	177	76	6.17278809802204e-11	3.94479739389221e-09
GO_BP::GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	454	155	7.007378401958886e-11	4.443438397521216e-09
Immune::GSE22886_NAIVE_BCELL_VS_DC_UP	98	50	7.719781204138985e-11	4.8575238653736074e-09
GO_BP::GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS	104	52	8.538234864445258e-11	5.331508487874978e-09
Immune::GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_UP	87	46	9.213597198976984e-11	5.709638264214525e-09
Immune::GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN	116	56	9.377487143321222e-11	5.724466032266239e-09
Immune::GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_UP	116	56	9.377487143321222e-11	5.724466032266239e-09
GO_BP::GOBP_REGULATION_OF_DEFENSE_RESPONSE	386	136	9.884963782735904e-11	5.989555832798496e-09
GO_BP::GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION	535	176	1.0564481367688112e-10	6.354224822624174e-09
Immune::NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	205	84	1.111966411593879e-10	6.639332296961992e-09
GO_BP::GOBP_VASCULATURE_DEVELOPMENT	222	89	1.2232766698829995e-10	7.251016782349954e-09
GO_BP::GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	209	85	1.358326046764053e-10	7.96573409042502e-09
Immune::GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN	157	69	1.3633285729333773e-10	7.96573409042502e-09
Immune::GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_3H_DN	123	58	1.4155934869636496e-10	8.163086231844775e-09
GO_BP::GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	120	57	1.4270431921195635e-10	8.163086231844775e-09
Immune::GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	120	57	1.4270431921195635e-10	8.163086231844775e-09
GO_BP::GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	193	80	1.5922185684997128e-10	9.044686034949757e-09
GO_BP::GOBP_TUBE_MORPHOGENESIS	254	98	1.794694692262486e-10	1.0124553505315267e-08
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	139	63	1.831716783979845e-10	1.0262632392435022e-08
Immune::GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	158	69	1.9241640966980907e-10	1.0707253272782572e-08
Immune::GSE360_CTRL_VS_M_TUBERCULOSIS_DC_DN	100	50	1.972337917026398e-10	1.0901164973835092e-08
GO_BP::GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	234	92	2.0468339740479122e-10	1.1236981146115384e-08
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	181	76	2.2316814874316598e-10	1.209731201084851e-08
GO_BP::GOBP_TUBE_DEVELOPMENT	325	118	2.2331223883106662e-10	1.209731201084851e-08
GO_BP::GOBP_BLOOD_VESSEL_MORPHOGENESIS	178	75	2.419023741680273e-10	1.3018167241410944e-08
Immune::GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	137	62	2.7610913238479484e-10	1.476191309089949e-08
Immune::GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_DN	163	70	3.524661966965418e-10	1.8634096970278406e-08
GO_BP::GOBP_MONONUCLEAR_CELL_MIGRATION	84	44	3.530910795101654e-10	1.8634096970278406e-08
Immune::GSE10325_CD4_TCELL_VS_BCELL_UP	170	72	4.205223888521053e-10	2.2050468851347573e-08
Immune::GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_DN	129	59	4.4805886184008374e-10	2.3344722865298633e-08
Reactome::REACTOME_INFECTIOUS_DISEASE	657	205	5.429111723910245e-10	2.8107679684547973e-08
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP	181	75	6.1243896813461e-10	3.150786641095037e-08
GO_BP::GOBP_PEPTIDE_METABOLIC_PROCESS	592	188	6.397683741215257e-10	3.2708158126963e-08
Immune::GSE22886_CTRL_VS_LPS_24H_DC_DN	152	66	6.444570935956203e-10	3.2743223761566296e-08
GO_BP::GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	440	148	6.532504861668066e-10	3.29851171410153e-08
Immune::GSE2706_UNSTIM_VS_8H_R848_DC_DN	100	49	7.358705796822828e-10	3.6928965287123144e-08
Immune::GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP	143	63	7.727302216980453e-10	3.854227569201226e-08
GO_BP::GOBP_CYTOKINE_PRODUCTION	364	127	8.792642703771835e-10	4.359019231324461e-08
GO_BP::GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	285	105	8.924295568213364e-10	4.397634804095501e-08
Immune::GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_18H_DN	86	44	9.482582735333052e-10	4.6447620823367884e-08
Immune::GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_UP	89	45	1.0044763782750677e-09	4.890843318029794e-08
Reactome::REACTOME_SARS_COV_1_INFECTION	122	56	1.0538134792161023e-09	5.070702505875128e-08
Immune::GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN	122	56	1.0538134792161023e-09	5.070702505875128e-08
Immune::GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP	101	49	1.1366115042786572e-09	5.437124038011354e-08
Immune::OSMAN_BLOOD_CHAD63_KH_AGE_18_50YO_HIGH_DOSE_SUBJECTS_24HR_DN	918	269	1.1647767399878613e-09	5.539461472732968e-08
Immune::GSE12366_GC_VS_NAIVE_BCELL_DN	135	60	1.2910626018289407e-09	6.104561897665165e-08
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_DN	90	45	1.5978674525578666e-09	7.511813656277788e-08
Immune::GSE10325_CD4_TCELL_VS_MYELOID_UP	181	74	1.6426342893431535e-09	7.678141992472568e-08
GO_BP::GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	49	30	1.6529736991473731e-09	7.682570942628131e-08
