,Spectra_0,Spectra_1,Spectra_2,Spectra_3,Spectra_4,Spectra_5,Spectra_6,Spectra_7,Spectra_8,Spectra_9,Spectra_10,Spectra_11,Spectra_12,Spectra_13,Spectra_14,Spectra_15,Spectra_16,Spectra_17,Spectra_18,Spectra_19,Spectra_20,Spectra_21,Spectra_22,Spectra_23,Spectra_24,Spectra_25,Spectra_26,Spectra_27,Spectra_28,Spectra_29,Spectra_30,Spectra_31,Spectra_32,Spectra_33,Spectra_34,Spectra_35,Spectra_36,Spectra_37,Spectra_38,Spectra_39
PPP2R5B,1.1245448348475787e-15,2.2717309288194486e-10,0.0010967302746059445,0.0008684078573278768,6.063660534226789e-06,3.1678309514246663e-16,2.749878683734209e-11,8.60769372922386e-08,0.00024941405080517863,6.64336809100446e-16,0.00019327080719719198,3.3670695391546044e-15,1.034306893459561e-15,1.327225531431899e-15,2.7830304950256537e-06,0.0015132842683927765,5.960614443217953e-11,6.827623657077347e-15,6.006160272480245e-15,3.442331546393614e-11,5.073904840381599e-12,1.05780053292491e-05,8.646454073392993e-13,0.05928259862766151,1.0308558416728319e-12,4.785832888501052e-12,0.010959998800480267,0.0008100165691141546,2.6480591811853467e-12,4.24035696163942e-10,0.0020037094197314564,2.95495224295913e-12,7.271885229922741e-13,3.604989216866648e-10,2.7484457376499867e-12,9.005548809260187e-13,9.748661453213034e-06,0.003116375450779283,0.07578673688994891,0.006503898316845834
PPP2R5C,4.232376935839406e-12,5.672806133100034e-10,1.2885471277036316e-05,0.022615218115526085,5.446568612693144e-12,0.0014616115672759146,0.013624491827895333,8.290353506986634e-12,0.0005815630697160001,1.0662598851641219e-08,0.015492539259075974,1.3837217916625057e-05,3.4248463054512695e-10,0.00035139752601951363,0.2820666681423457,0.011206271362919254,0.015755386780145163,5.154652414176778e-12,2.4325231532489074e-06,1.6841963359077898e-06,0.0002403606658682902,8.252133330138718e-06,0.002065733685841705,0.05718725357528839,2.4113341416718457e-10,1.1488746981256633e-07,0.07241055443987567,4.030725622195559e-12,9.191373799754824e-10,0.021799392206812873,5.8396611998179226e-12,1.314744825833812e-09,0.008295098635005419,0.0003856624391454166,4.504616682433652e-06,5.597097517757895e-11,0.015484977402099075,1.236861281891008e-09,0.00037598669100071235,0.09512186979245688
PPP3CA,3.3430644569998175e-14,0.0029674676861565783,6.654564117549146e-11,7.864641370647892e-06,0.00044156632081883266,5.785019372393881e-10,2.3080451099036294e-06,1.0762140148079968e-11,0.006592436049041479,1.3374284771480385e-13,0.0011160270905878,5.233305443215913e-05,6.757403558734906e-06,9.762852255499099e-15,1.1862564600927859e-07,0.002966873467463703,0.0021382880741547933,6.5954394483452765e-15,7.412287776810451e-14,4.380731308323144e-06,3.7179369487513663e-09,0.0026859329684553917,5.703903210579817e-10,0.0005968145238701685,0.003909839843511014,3.7672824636800923e-10,0.028004563642231348,0.0014641820009402638,1.2589773341200732e-10,0.062886605472002,0.010104357260687244,0.02531617186463496,6.433892139893485e-08,3.1183724324250207e-09,3.673790993375705e-07,2.1287701904260577e-08,1.564559773672695e-05,8.818926247221284e-09,0.00013338291515673046,0.07674533876165093
PPP3R1,9.3109741531379e-09,0.002249241311002297,6.419568491326214e-05,5.78234959646708e-06,0.0005083947283652719,1.26550200875669e-13,3.858507668273583e-08,4.2113946315299886e-07,2.1406864521728476e-13,3.5254526199667805e-13,1.0363659740287476e-12,3.092029424192873e-12,7.324670355816267e-13,1.3960146254493546e-12,4.341038819811209e-05,0.0015743245563488504,2.240681287477204e-11,1.459024485579098e-10,1.1315670041542833e-12,6.318044719158076e-07,0.02111574368985581,7.4425225462922e-06,2.1975914583271995e-12,0.0742198238277869,2.7672976294493067e-11,5.592771975828185e-11,2.645536220564729e-06,0.004396043492777493,0.008958806933871787,0.007464626490973752,0.0016368603688104164,9.760923413635923e-13,1.3705403269704453e-12,0.01999844265837689,3.1105957367175666e-11,1.4453045841597757e-08,0.002391728375872686,6.2359466427051495e-12,0.003938648159413265,0.01950169239661382
PPP4R3A,1.2434424472468979e-11,0.00016305133420381463,2.0667636929107818e-06,0.00515805259624975,0.001789101589769071,4.669982991671095e-13,1.2062166764628713e-10,5.807597764068395e-06,4.538265235179806e-10,3.6244592221274006e-13,1.3267360556094509e-08,8.041485200997179e-05,6.550728359887627e-13,8.905006864527968e-13,0.14260290606735662,0.0033843146497404444,9.350358812691994e-10,6.680966002115755e-12,0.00010305421188175244,9.96029516219619e-07,4.510530270462087e-08,0.0004534396530481387,1.7571426285754832e-11,0.09158051942914187,5.945749073209468e-09,8.426537328330593e-12,1.3133810801684492e-07,1.371344178752445e-10,0.011421910905196907,5.741532904558245e-09,7.570000461877615e-11,2.356472997096783e-12,5.7965502365935414e-12,6.746392517748558e-08,7.70467971199556e-12,1.6409240260713782e-13,1.2782871993087538e-05,0.07299775533045645,0.02838559882078542,1.1970287333136557e-07
PPP6C,9.42303798382151e-14,6.0163399026807856e-09,0.033098622206940154,5.607482414307779e-09,1.4308564431917784e-11,7.346695690641616e-06,0.0008559948751084807,3.5070352023557527e-11,5.929004785384487e-11,0.023498252808176866,4.0841232003357505e-11,8.429085173978951e-14,0.004360769760778291,6.960204877659816e-15,8.227480755931566e-07,1.0852318341816655e-05,6.584250392792539e-09,2.1106007994502798e-13,3.417698542717408e-13,5.622261749464839e-05,1.7669687293575368e-08,0.0008891562336462365,0.003216597988164998,0.00021084436106174294,0.01034492568275895,3.502829942159492e-07,0.01983077243866684,0.0024349394935892646,8.759722235730557e-08,5.203612221393235e-12,0.012418595184636432,4.637370434175075e-07,0.005544994988534748,1.1027741229186885e-11,0.03742748415054627,7.175994970248649e-07,2.931306702807699e-05,7.824794654336178e-06,0.05976083297828053,7.278727604201038e-05
PPP6R2,1.575482009435853e-13,0.002734867397843789,0.0014077017778229366,0.0038455460714362363,0.0021090189767054342,2.23753666029073e-14,3.5412684951906857e-12,6.923395118841642e-07,0.0027115173412834205,5.0271748428881874e-14,2.9642816179895166e-11,0.00012024191979450313,0.0004487975682522157,0.0001910489808411008,3.077724807353656e-07,0.0029474141842561643,1.8598253443704717e-11,1.147518620233488e-13,0.00020034081867221365,1.1044510407043668e-05,4.177031291354696e-12,0.00020751079386940605,1.3622475890588739e-13,0.03474993144343276,0.003054756838104855,0.0005345996827060573,4.168732657821174e-07,0.007548909677020436,0.03667245203950611,1.549210775830953e-11,0.006985959794468203,7.546536671015292e-11,0.0007474882257156138,0.016709451945878147,1.2837317576710507e-09,4.0105662380751817e-07,0.00018649524697044213,2.9758678983825587e-10,0.036152393362744464,0.0021092049498091306
PPP6R3,6.645001156615187e-14,0.00014893044527234184,3.429147276026974e-08,4.7888606861754105e-11,0.003823698103263663,1.321262924346033e-11,0.0006245004650575949,0.00011962652995213766,1.7178713498560576e-13,5.314765830730201e-15,7.280285337660608e-13,7.649580639137902e-05,1.7283480038149652e-14,6.763317575948609e-14,1.124224358842737e-10,0.0018956101265574267,0.0035500209943613702,2.0877063138609257e-14,6.307794133180176e-15,0.002000392128458814,0.0018313937295858479,0.0036169279142076356,0.0005247701404837761,0.000534346714733096,2.275960831484124e-09,0.00015961282803624423,0.007707015331882746,2.983887010342193e-09,4.413651618881307e-11,0.0034093543730250165,0.005888040785306472,3.217872050519885e-09,0.0017032882520986788,0.0003402496614169202,0.006934106627090954,7.559649969945557e-08,0.007966480550059017,0.02245977808824945,5.363112979528299e-05,1.1693796339649314e-05
PPTC7,9.559932772911029e-14,4.512224749211999e-06,0.0005226541165261973,0.001790178376869368,0.001004928195353106,5.369603418376733e-15,4.670374123630854e-15,8.408608265168621e-07,6.782797046329497e-14,1.2657433180685132e-14,0.004013625639990041,5.851507122736823e-15,4.864216961924682e-15,1.2592320421293019e-14,0.003134149039404998,0.0009856066692978916,7.367476372428377e-08,9.402232831253983e-13,7.844968625287823e-05,6.265869270733666e-12,0.0257381233599468,0.0003489574984531582,1.9214021811331633e-12,0.0013233324372482406,2.264893687264442e-12,1.3079085061677677e-11,1.1908639141125567e-05,1.0698270926617e-05,1.6673515942138555e-05,0.0028645325823693788,0.0014533435534873212,5.666906792051252e-13,2.833695384752849e-13,1.7953311047612367e-09,2.1009329938076436e-13,1.1424319565070706e-09,3.6352218496515226e-05,0.02208892550674515,8.419244592421274e-05,7.975031755395595e-07
PPWD1,0.021187605740842046,5.264403053525996e-11,0.00798324572416962,8.224040025400862e-05,0.0017210993696172249,2.0970823912043659e-13,0.0019913112640788586,2.1857888507369723e-05,6.955961007205318e-11,0.004196684795133045,1.127420412733709e-09,1.1014322752738816e-12,3.050988280539003e-12,0.0006094210843695585,0.15387486025150685,8.053512533807835e-05,3.5437442124055687e-10,1.3920755658061907e-08,0.00018274213621594852,0.00023451782557193314,8.72532364399998e-12,5.168346702291825e-06,2.7534930505094274e-10,0.01776324756398161,0.004555914296705794,2.1411773265006236e-08,2.515068096580409e-06,9.479573372972862e-08,0.0065716311114984724,1.4701233318287166e-11,5.421578577728437e-13,2.5849326975749553e-06,4.886669493397427e-13,2.6317910246433335e-12,0.00012894199442004144,1.3679318246213066e-14,0.0018776352475571387,1.5518064680444434e-08,0.0020122965689910134,1.574244286877393e-12
