cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd8_BL,2.0,SDAN_4,sciRED_8,1616,18,17,0.5037707390648567,0.011370524846742927
cd8_BL,2.0,SDAN_4,sciRED_9,1616,18,17,0.5948202920943236,0.01457083495402764
cd8_BL,2.0,SDAN_4,sciRED_10,1616,18,17,0.4351984696317551,0.009393397684479433
cd8_BL,2.0,SDAN_4,sciRED_11,1616,18,17,0.5888606849869403,0.015118422156752017
cd8_BL,2.0,SDAN_4,sciRED_12,1616,18,17,0.4406062612662326,0.009596519532202476
cd8_BL,2.0,SDAN_4,sciRED_13,1616,18,17,0.43843578707280284,0.00964854186878776
cd8_BL,2.0,SDAN_4,sciRED_14,1616,18,17,0.48438362211676417,0.018891627681217545
cd8_BL,2.0,SDAN_4,sciRED_15,1616,18,17,0.5012691755876835,0.010731659256107792
cd8_BL,2.0,SDAN_4,sciRED_16,1616,18,17,0.43814148548725307,0.010610962701931351
cd8_BL,2.0,SDAN_4,sciRED_17,1616,18,17,0.5200309016664827,0.011683188441048825
cd8_BL,2.0,SDAN_4,sciRED_18,1616,18,17,0.66541588492808,0.026937835690262497
cd8_BL,2.0,SDAN_4,sciRED_19,1616,18,17,0.5474009491226134,0.020368905996573556
cd8_BL,2.0,SDAN_4,sciRED_20,1616,18,17,0.5993819666703454,0.018843554045386804
cd8_BL,2.0,SDAN_4,sciRED_21,1616,18,17,0.5554574550270389,0.016397587690555847
cd8_BL,2.0,SDAN_4,sciRED_22,1616,18,17,0.37677960490012136,0.008203067979554106
cd8_BL,2.0,SDAN_4,sciRED_23,1616,18,17,0.41551705109811277,0.008822854813863325
cd8_BL,2.0,SDAN_4,sciRED_24,1616,18,17,0.5986094250082772,0.09473436187318887
cd8_BL,2.0,SDAN_4,sciRED_25,1616,18,17,0.6102711253356877,0.023211113096473397
cd8_BL,2.0,SDAN_4,sciRED_26,1616,18,17,0.5547584887613582,0.03820242780068851
cd8_BL,2.0,SDAN_4,sciRED_27,1616,18,17,0.4876577272560056,0.015611814260563694
cd8_BL,2.0,SDAN_4,sciRED_28,1616,18,17,0.6165250340286209,0.015295505520255425
cd8_BL,2.0,SDAN_4,sciRED_29,1616,18,17,0.5748445719751315,0.020222762586321906
cd8_BL,2.0,SDAN_4,sciRED_30,1616,18,17,0.5594305264319611,0.026464348268233403
cd8_BL,2.0,SDAN_4,sciRED_31,1616,18,17,0.5630725085531398,0.014682384122118565
cd8_BL,2.0,SDAN_4,sciRED_32,1616,18,17,0.618621932825663,0.08326223634178645
cd8_BL,2.0,SDAN_4,sciRED_33,1616,18,17,0.5294485524040762,0.012990107274928178
cd8_BL,2.0,SDAN_4,sciRED_34,1616,18,17,0.5514108082257293,0.03184842199910063
cd8_BL,2.0,SDAN_4,sciRED_35,1616,18,17,0.4499871243056322,0.010281721758606463
cd8_BL,2.0,SDAN_4,sciRED_36,1616,18,17,0.6129566273038295,0.014437836186797769
cd8_BL,2.0,SDAN_4,sciRED_37,1616,18,17,0.5882720818158408,0.014494698156048166
cd8_BL,2.0,SDAN_4,sciRED_38,1616,18,17,0.49170437405731526,0.011461898833294308
cd8_BL,2.0,SDAN_4,sciRED_39,1616,18,17,0.5964021631166537,0.025003644784055076
cd8_BL,2.0,SDAN_5,sciRED_0,1616,17,17,0.46713019166390757,0.01055401851350862
cd8_BL,2.0,SDAN_5,sciRED_1,1616,17,17,0.5034396497811131,0.010311497462875914
cd8_BL,2.0,SDAN_5,sciRED_2,1616,17,17,0.5034764374793069,0.010730178528360057
