cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
Astro,2.0,SDAN_5,Spectra_11,2000,2847,1481,43,40,0.4928001387925052,0.02634811207020079
Astro,2.0,SDAN_5,Spectra_12,2000,2847,1481,43,40,0.4991672449687717,0.030639134275531964
Astro,2.0,SDAN_5,Spectra_13,2000,2847,1481,43,40,0.5100624566273422,0.02835667462187222
Astro,2.0,SDAN_5,Spectra_14,2000,2847,1481,43,40,0.40575988896599585,0.021310405565699526
Astro,2.0,SDAN_5,Spectra_15,2000,2847,1481,43,40,0.47329979181124215,0.02397755274176466
Astro,2.0,SDAN_5,Spectra_16,2000,2847,1481,43,40,0.5347328244274809,0.03076620649759702
Astro,2.0,SDAN_5,Spectra_17,2000,2847,1481,43,40,0.46533657182512145,0.025827842704507484
Astro,2.0,SDAN_5,Spectra_18,2000,2847,1481,43,40,0.5609125607217211,0.02830826929009355
Astro,2.0,SDAN_5,Spectra_19,2000,2847,1481,43,40,0.5384975711311589,0.034666618820176895
Astro,2.0,SDAN_5,Spectra_20,2000,2847,1481,43,40,0.3914295628036086,0.020615797568599947
Astro,2.0,SDAN_5,Spectra_21,2000,2847,1481,43,40,0.3684247050659264,0.021426755419428276
Astro,2.0,SDAN_5,Spectra_22,2000,2847,1481,43,40,0.548941707147814,0.029311893242899307
Astro,2.0,SDAN_5,Spectra_23,2000,2847,1481,43,40,0.3473108952116586,0.01922877999031957
Astro,2.0,SDAN_5,Spectra_24,2000,2847,1481,43,40,0.3829458709229701,0.02038353721824635
Astro,2.0,SDAN_5,Spectra_25,2000,2847,1481,43,40,0.48187022900763354,0.024539155146945532
Astro,2.0,SDAN_5,Spectra_26,2000,2847,1481,43,40,0.36686328938237334,0.020224236018700947
Astro,2.0,SDAN_5,Spectra_27,2000,2847,1481,43,40,0.49772727272727274,0.02634208089906807
Astro,2.0,SDAN_5,Spectra_28,2000,2847,1481,43,40,0.40961138098542677,0.021543432734304178
Astro,2.0,SDAN_5,Spectra_29,2000,2847,1481,43,40,0.4069222761970854,0.021598171314998298
Astro,2.0,SDAN_5,Spectra_30,2000,2847,1481,43,40,0.5490631505898682,0.03085453794739021
