,sciRED_0,sciRED_1,sciRED_2,sciRED_3,sciRED_4,sciRED_5,sciRED_6,sciRED_7,sciRED_8,sciRED_9,sciRED_10,sciRED_11,sciRED_12,sciRED_13,sciRED_14,sciRED_15,sciRED_16,sciRED_17,sciRED_18,sciRED_19,sciRED_20,sciRED_21,sciRED_22,sciRED_23,sciRED_24,sciRED_25,sciRED_26,sciRED_27,sciRED_28,sciRED_29,sciRED_30,sciRED_31,sciRED_32,sciRED_33,sciRED_34,sciRED_35,sciRED_36,sciRED_37,sciRED_38,sciRED_39
WFDC1,0.007311302945970717,0.0037317534569731962,-0.007958752652703483,-0.0018305162434819368,-0.012082707571581836,0.007297319351759611,0.0006504784611560527,0.005397775607610254,0.022735225555443186,0.0008043097585306302,-0.03197365292455452,-0.008251238267635989,-0.0029098088426004693,0.050942436730654184,-0.014254646861157296,0.0013616791667708905,0.006365347875268466,0.007346931708131349,0.0058971983045170056,0.00020129127851428058,0.0055078450409143664,-0.021106986451316163,0.015653106875552453,0.004102146121639278,0.010586726370005637,0.010754500246841131,-0.027592763791303813,0.010523116661479362,0.01616087017382348,0.034048886746549344,0.0032567447746556758,-0.019899299900060806,0.02531003517519447,-0.02141456423450447,0.005916361482309341,0.006641458804148631,-0.003180180344390899,0.03289109974411861,0.0009608473161808581,0.003670200143079049
COTL1,-0.002924338032377296,-0.007379792958889851,-0.029265137232608797,-0.017230875208133406,-0.017406676495529357,-0.003131604816769382,0.001216310895151277,-0.022063317514225324,0.009637042543609326,0.0029628760352234723,-0.02868313727346821,0.004765566958511695,-0.0023889588917150465,-0.01857529383828669,0.03879803802455989,-0.020272118809547764,-0.007619548428488578,-0.07384484280991144,-0.013410299709543763,0.021003184129486315,-0.006633037319894704,-0.0018915433813851883,0.00641213411114355,0.01039015720974289,0.03789147646456221,-0.01776053025520109,0.009921105381976481,-0.0019397640440234271,-0.01482207870154762,-0.015862311717135095,-0.04891235329116466,-0.02731254092397845,-0.00957032680661493,-0.06475280361943346,-0.003800954354809227,5.155394413079354e-05,-0.051257418010748,-0.009733235883587153,-0.012048425003622366,0.008838413270321324
EEF2K,-0.007453829770381957,-0.016467185572879822,0.017193384059184757,-0.005891556891152303,-0.007173998663137607,-0.008316966559134359,-0.009883435323164727,-0.006929270794978222,0.010549491497598,0.005073238659455094,-0.04197059170789251,0.0006384306295634236,-0.002486498539229135,0.015312180531772484,-0.010370984536323236,0.014472668651049929,0.026668303015367368,0.027946616083295385,-0.01251715055214223,0.026916089040777576,0.001694241747651063,-0.04608505776450489,0.010349409000112279,-0.000655139393692602,0.003620967186804,-0.006001480649019844,-0.009829026872736955,0.053470051824999115,0.0398082934822588,0.0077022826464379,-0.014599839288252144,-0.00447927907908586,0.006196535037065251,0.01153672663663715,0.006457908247281077,0.0016384915862853833,0.03131861344577595,-0.03285792151074165,-0.03455869042145572,-0.002098707978467485
CPPED1,0.004216321985489746,-0.011426581835689368,0.002673716522420999,0.008679973125701575,-0.010893092503098431,-0.008373308906571002,-0.010721639053575862,-0.006986488223233765,-0.01942446322769962,0.007437952634559709,-0.016671466045133917,-0.015332346111901408,-0.030001528893486718,0.0014192622809429108,0.0065746961057020345,0.004505579810810776,-0.00281876380520339,0.002995957003060448,-0.01152777190041888,-0.008099428746560097,-0.008818278706032594,0.006424418584599409,0.011692431210927891,0.0014132708624570167,-0.02733601783891905,-0.0059498348351010606,0.003354506181437158,-0.017013997367553046,-0.016326995967524762,0.013812161261167742,0.007659715369797207,0.013757212161525523,-0.006794711375287512,0.006166401586333547,-0.027779419993263,0.02016483579465314,-0.028834530496012895,0.0074044050822468805,-0.022661462266553387,-0.015969012107075492
XYLT1,0.0020512098903531346,-0.018755947127615056,-0.00575828208708415,-0.004542860277462483,0.0043262804817667646,-0.015183984184719834,-0.007080283619263381,-0.013834581022701653,0.04535717027605958,0.015161138182660442,-0.006304872843133625,-0.029065060786952434,0.022692038248470135,0.016223036901620854,-0.00780274512882,-0.011631811504090199,-0.0013536874046376286,-0.00821511873982047,0.01793380261936883,0.017043290944179803,0.00694346944277755,-0.04313057912426712,-0.08913408812886821,-0.014937621908653023,0.007027472856997224,-0.008818966322644544,0.0338181917354861,-0.016476615764810222,-0.01452285610727702,-0.015026041942302832,0.003967870290632628,-0.0033539671256037924,-0.016230394480003598,0.006430934796531796,0.024631956921064804,0.05338459445250509,-0.02884501783384383,-0.02013292192409497,0.004251102171256663,0.03525932248658839
KAT8,-0.001825260416254056,-0.0058005102385702955,-0.002055341620040291,0.005754683409827804,0.013801160115832052,-0.0011446180820733427,-0.004237283171627836,2.9894934994654344e-05,0.009764390904440905,0.014001259676429838,-0.031104073467070312,-0.007037028600037994,-0.007082943536801792,0.005799434573568745,0.006239799912263922,0.006003427469418165,-0.007055975823270485,-0.011752407681313247,0.011440227437926895,-0.01819492416616783,-0.006839537013707545,0.007987584956896887,0.011782143307338068,-0.007085056449260863,0.000716330190709419,-0.00908165726636278,0.0089555950074339,-0.02006028821617209,0.03751837948553645,-0.0044900442315738255,0.027066458233526908,-0.012716235140120427,0.008494461395073078,-0.013464753338442425,0.00628623018399455,-0.03211913707318821,0.012638070412095529,-0.027651109865667826,0.008602350745373568,0.026624389476858263
ATP8B4,0.00493605362907126,0.001601427266622772,-0.0018058361227675384,0.021645112194643018,0.018383910840978807,-0.003913797136220694,-0.006860082777375482,-0.004673879679547838,0.003934216563363342,-0.008773228883506186,-0.004099683984664194,-0.0011267857709549608,0.014811005539483833,0.006783535211432325,-0.003938553720950232,-0.00251618438339428,0.0025311184440007565,-0.017439661700579926,-0.006588194519486978,-0.002017544279231358,-0.007802529638668284,0.011522889946681101,0.011614188271142164,0.01016575520860225,0.005814365915773123,-0.003862848009862977,-0.010790162244449049,0.01739650608491065,0.04151720056846667,0.0029111757689932118,-0.0048217084745815495,0.0041539795169113335,-0.001975229385790066,0.0037842086546649527,-0.013071514909593077,0.005592445523162417,-0.03313945450075656,-0.008656399815369314,-0.017885075527461596,-0.00989965069169948
RP1,-0.0023535567239308906,-0.0006709873746945643,-0.012092478802448804,0.0021747377014272916,-0.0008262831528735632,6.380949136387533e-05,-0.020837686976339354,-0.00336291683432893,-0.00039351226288399587,-0.001304927999250249,0.0009534093386837836,-0.018102424666282715,-0.008637342045454358,-0.005259170725440619,-0.0042815787632590726,0.006516244663380277,-0.0025234699627682024,0.0059616335196587605,-0.01291819838768965,0.02361458580472253,-0.001439951424859366,0.010695543587745635,-0.01935296888034513,0.0037558916672151693,0.0031706973854448033,0.0008275766349550574,-0.006077668596827442,-0.01186242468799984,-0.008942905180790342,0.01408372299117106,0.0340172558149353,-0.0006680197685911919,0.003963935922438356,0.03037469680524564,-0.004684666000464959,0.007218144525552788,-0.01068192605241199,-0.007195853786669169,0.014949796696431462,0.0019797236835539162
EYA1,0.014774014299354325,-0.004104516342191179,-0.034969779334648225,0.038177843366491174,-0.01688726075867209,-0.013036578788921909,-0.02998503536687608,0.013487593951532059,-0.017282770096212225,-0.012240153048811816,0.024860401466722255,-0.01126158647391438,-0.026555513561671962,-0.012231124310141844,-0.027742228344484046,0.009795418214303705,0.018018786791635964,0.01350857309467399,-0.0008550016884554027,-0.0006176926413766741,-0.021254178391143602,0.004619006789178361,-0.03481601774255335,-0.0059929262969519335,-0.023238291397932515,-0.012364799549251676,-0.014352012500589205,-0.012651824654997706,-0.02421687211344064,-0.01312068350464581,-0.02002880449524779,-0.05356227377180177,0.014116617842647406,0.017368840947784025,-0.015313276055972555,-0.004516021259480747,-0.03096811204247096,0.004712341104578702,-0.017211686527226256,0.031140467753309465
NIPAL2,-0.0013892374993423574,-0.0017056973327318726,0.0032576687012496174,0.007713056326451243,0.04418674159911988,-0.0002855881098116061,0.0014698610712551715,-0.00909857674684126,0.00044192430672519186,-0.0013194327999852698,-0.01271103252626147,-0.0032998518657174586,0.006289797147276611,-0.00815286646322039,0.003693496966987478,0.01585315822076018,0.0019781677665409057,-0.024606506822356898,-0.004212672126339261,0.00834187209556218,0.0013780237846918338,5.228384128127203e-05,-0.00516291366465183,0.0029065043487213078,0.002128533030548747,-0.008211305592998468,-0.012679319900950479,0.01590446786557348,0.0006544094351346667,0.019577382070902365,0.007708343235157645,-0.014374775515356573,0.017172361210259,-0.009801592546028245,-0.007427066757285542,-0.03097276496609394,-0.0012096205053728204,0.03167584791600108,-9.218833021403752e-05,-0.01918033860227866
TRPS1,0.005667637894634915,-0.015055900523918857,-0.05263607284504519,-0.021256090373562343,-0.04390167582545272,0.009055233736558593,-0.007704960251722272,0.007622603941975184,-0.037558187655921435,-0.024143554576247495,0.0883169793472065,-0.0006580981341069081,-0.017824396264077457,-0.024492749558024916,0.028391663312284213,0.028583650658932636,0.011809673173098436,0.010041039411718924,-0.017360019588769243,-0.03116318358730821,-0.010388185011261793,-0.007586632777577156,0.006819596273279114,0.004242926652366121,-0.004497770196142445,-0.031167725807982636,-0.03654918251704174,-0.046921284605484094,-0.0018916831549880076,-0.019857368370664034,-0.0033489320001897378,0.007288654488807819,-0.05938722491234314,0.01995972677726008,0.008498654429441775,0.003801363741341612,0.0023411164564752164,-0.01575238897339902,-0.01776607555912658,-0.026933483793341376
TUSC3,0.0037127927705045407,-0.005558480351450909,-0.008456152598367022,-0.015390246652260598,0.022031112086211432,-0.015878485938334224,-0.03229850858148943,-0.023294090217289225,-0.008724006774840327,0.0010619805597962145,0.02770766948432019,0.0057302474952937305,0.0032373541737829863,-0.0008545067628516394,-0.015247784065635534,0.002934821354283136,0.026397698941131826,-0.006424287320423756,-0.027323537427651586,-0.005871208431974713,-0.002914437219992501,0.017014740443832763,0.03426608724194989,-0.013451362874459407,-0.02417345631436898,-0.005316758000197627,0.00628133505647988,-0.006619467874051669,-0.022313542564097972,-0.013028001032420104,0.008586205701629704,-0.006236348667669426,-0.0063513716047871255,-0.0076986680576167305,-0.039050619032421026,0.04801587554128146,0.003542809836243018,-0.07008170273008461,0.01923817116469771,0.030502918520853534
FGL1,-0.023747973329975778,-0.011730093283472165,-0.024799437290698733,0.10138158833137963,-0.005887498215458904,0.002820601126472139,-0.01268835669469948,-0.05685901830464715,0.020037041075958703,0.007825116459443832,0.03166015093797563,-0.012722164717191729,-0.010180704823023563,-0.03481532860913755,0.09047719706197796,0.002210372225224666,0.0036571827146812392,-0.004135153304893409,0.005810342179077193,-0.019700389458325893,-0.012833427285547601,0.014949700240358285,0.029062701518364622,-0.020715990787453585,0.03632789303400828,0.012109692644877454,0.0009003679088616778,0.02865216274598953,0.0028746706065738478,0.04189702435576963,-0.007420708812293314,0.04701592038861234,0.016447353546695298,0.019302900115933712,-0.031826837307234485,-0.02813044985880181,0.0192589165755553,0.009469250882309339,0.0035231988206257487,0.0009027497998616565
